,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
4599,white,6.5,0.46,0.24,11.5,0.051,56.0,171.0,0.99588,3.08,0.56,9.8,6,32.748538011695906,85.21739130434784,165.22988505747128,93.39080459770115
4600,white,6.5,0.18,0.48,18.0,0.054,56.0,183.0,1.00038,2.98,0.61,8.5,6,30.601092896174865,47.22222222222222,269.4610778443114,97.3053892215569
4601,white,6.2,0.32,0.12,4.8,0.054,6.0,97.0,0.99424,3.16,0.5,9.3,5,6.185567010309279,193.75000000000003,73.61963190184049,95.0920245398773
4602,white,7.2,0.4,0.24,8.5,0.055,45.0,151.0,0.99626,3.2,0.52,9.2,5,29.801324503311257,108.23529411764704,111.84210526315789,94.73684210526315
4603,white,5.9,0.23,0.24,1.6,0.037,32.0,115.0,0.99076,3.21,0.51,11.4,6,27.82608695652174,712.5,26.101141924959215,96.24796084828711
4604,white,6.4,0.18,0.48,18.0,0.054,56.0,183.0,1.00038,2.98,0.61,8.5,6,30.601092896174865,47.22222222222222,273.5562310030395,97.2644376899696
4605,white,6.4,0.37,0.12,5.9,0.056,6.0,91.0,0.99536,3.06,0.46,8.4,4,6.593406593406593,142.3728813559322,87.14918759231905,94.53471196454947
4606,white,7.0,0.23,0.42,1.1,0.062,35.0,100.0,0.99318,3.04,0.4,9.2,5,35.0,836.3636363636361,15.21438450899032,96.81881051175657
4607,white,7.6,0.19,0.37,13.1,0.033,52.0,151.0,0.99726,3.18,0.79,10.4,6,34.437086092715234,79.38931297709924,168.16431322207958,97.5609756097561
4608,white,6.0,0.28,0.27,4.1,0.046,50.0,147.0,0.99126,3.27,0.56,11.6,6,34.01360544217687,282.9268292682927,65.28662420382165,95.54140127388534
4609,white,6.2,0.32,0.45,2.9,0.029,37.0,94.0,0.98998,3.25,0.6,12.4,6,39.361702127659576,427.58620689655174,44.47852760736196,95.0920245398773
4610,white,6.4,0.26,0.26,1.1,0.052,22.0,176.0,0.99304,3.09,0.54,9.3,5,12.5,845.4545454545455,16.516516516516518,96.09609609609609
4611,white,5.9,0.25,0.27,1.5,0.029,37.0,81.0,0.9892,3.2,0.46,12.2,6,45.67901234567901,813.3333333333334,24.390243902439025,95.93495934959348
4612,white,6.1,0.28,0.3,7.75,0.031,33.0,139.0,0.99296,3.22,0.46,11.0,6,23.74100719424461,141.93548387096774,121.47335423197492,95.61128526645768
4613,white,6.9,0.19,0.38,1.15,0.023,30.0,105.0,0.99047,3.11,0.38,11.4,5,28.571428571428573,991.304347826087,16.220028208744708,97.32016925246826
4614,white,6.4,0.29,0.57,1.0,0.06,15.0,120.0,0.9924,3.06,0.41,9.5,5,12.5,950.0,14.947683109118087,95.66517189835575
4615,white,6.8,0.27,0.22,17.8,0.034,16.0,116.0,0.9989,3.07,0.53,9.2,5,13.79310344827586,51.685393258426956,251.76803394625176,96.18104667609617
4616,white,7.5,0.26,0.38,5.7,0.021,23.0,125.0,0.99338,3.13,0.62,11.1,6,18.4,194.73684210526315,73.45360824742268,96.64948453608248
4617,white,6.4,0.2,0.22,7.4,0.032,53.0,172.0,0.99404,3.24,0.58,11.0,6,30.813953488372093,148.64864864864865,112.12121212121211,96.96969696969697
4618,white,7.3,0.33,0.22,1.4,0.041,40.0,177.0,0.99287,3.14,0.48,9.9,5,22.598870056497177,707.1428571428572,18.34862385321101,95.67496723460026
4619,white,7.3,0.34,0.22,1.4,0.044,43.0,176.0,0.99286,3.14,0.46,9.9,5,24.431818181818183,707.1428571428572,18.324607329842934,95.54973821989529
4621,white,6.3,0.24,0.29,1.6,0.052,48.0,185.0,0.9934,3.21,0.5,9.4,5,25.945945945945947,587.5,24.464831804281346,96.3302752293578
4622,white,6.2,0.24,0.22,7.9,0.053,45.0,149.0,0.99545,3.23,0.52,9.3,5,30.2013422818792,117.72151898734178,122.67080745341615,96.27329192546583
4623,white,7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43,8.7,7,18.51851851851852,56.129032258064505,205.026455026455,97.88359788359787
4624,white,7.2,0.17,0.28,17.55,0.05,33.0,154.0,0.99971,2.94,0.43,9.0,7,21.428571428571427,51.28205128205128,238.12754409769335,97.69335142469471
4625,white,6.9,0.19,0.35,13.5,0.038,49.0,118.0,0.99546,3.0,0.63,10.7,6,41.52542372881356,79.25925925925925,190.40902679830745,97.32016925246826
4626,white,6.8,0.16,0.36,1.3,0.034,32.0,98.0,0.99058,3.02,0.58,11.3,6,32.6530612244898,869.2307692307692,18.67816091954023,97.70114942528735
4627,white,6.8,0.3,0.27,11.6,0.028,22.0,97.0,0.99314,2.96,0.38,11.7,6,22.68041237113402,100.86206896551724,163.38028169014086,95.77464788732395
4628,white,6.5,0.43,0.18,13.15,0.032,25.0,131.0,0.99565,3.23,0.51,10.7,5,19.083969465648856,81.36882129277566,189.75468975468976,93.7950937950938
4629,white,6.6,0.17,0.36,1.9,0.036,38.0,110.0,0.99056,3.05,0.54,11.4,6,34.54545454545455,600.0,28.064992614475628,97.48892171344166
4630,white,6.4,0.41,0.01,6.1,0.048,20.0,70.0,0.99362,3.19,0.42,10.0,5,28.571428571428573,163.9344262295082,89.5741556534508,93.97944199706313
4631,white,7.4,0.36,0.32,1.9,0.036,27.0,119.0,0.99196,3.15,0.49,11.2,6,22.689075630252105,589.4736842105264,24.484536082474225,95.36082474226804
4632,white,6.1,0.17,0.21,1.9,0.09,44.0,130.0,0.99255,3.07,0.41,9.7,5,33.84615384615385,510.52631578947364,30.303030303030305,97.28867623604467
4633,white,5.5,0.28,0.21,1.6,0.032,23.0,85.0,0.99027,3.42,0.42,12.5,5,27.058823529411764,781.25,27.681660899653977,95.15570934256056
4634,white,6.6,0.5,0.26,11.3,0.029,32.0,110.0,0.99302,3.27,0.78,12.9,8,29.09090909090909,114.15929203539822,159.1549295774648,92.95774647887325
4635,white,7.1,0.44,0.27,8.4,0.057,60.0,160.0,0.99257,3.16,0.36,11.8,6,37.5,140.47619047619048,111.40583554376657,94.16445623342175
4636,white,6.9,0.38,0.28,8.3,0.062,22.0,166.0,0.99506,3.16,0.72,10.6,5,13.25301204819277,127.71084337349396,114.01098901098902,94.78021978021978
4637,white,6.2,0.24,0.28,12.2,0.049,54.0,133.0,0.9952,3.19,0.37,10.7,6,40.6015037593985,87.70491803278689,189.44099378881987,96.27329192546583
4638,white,6.1,0.28,0.27,8.0,0.048,41.0,162.0,0.99498,3.21,0.51,9.9,5,25.30864197530864,123.75,125.39184952978057,95.61128526645768
4639,white,7.6,0.26,0.32,1.3,0.048,23.0,76.0,0.9903,2.96,0.46,12.0,6,30.26315789473684,923.0769230769231,16.539440203562343,96.69211195928754
4640,white,7.5,0.16,0.38,12.7,0.043,70.5,163.0,0.99706,3.15,0.82,10.4,7,43.25153374233129,81.88976377952757,165.7963446475196,97.911227154047
4641,white,6.5,0.36,0.16,1.3,0.054,11.0,107.0,0.99398,3.19,0.39,8.5,5,10.280373831775702,653.8461538461538,18.950437317784257,94.75218658892128
4642,white,6.6,0.35,0.19,10.5,0.06,15.0,82.0,0.99588,3.13,0.38,9.9,4,18.29268292682927,94.28571428571429,151.0791366906475,94.96402877697842
4643,white,5.7,0.25,0.26,12.5,0.049,52.5,120.0,0.99691,3.08,0.45,9.4,6,43.75,75.2,210.08403361344537,95.7983193277311
4644,white,7.4,0.37,0.26,9.6,0.05,33.0,134.0,0.99608,3.13,0.46,10.4,5,24.62686567164179,108.33333333333334,123.55212355212355,95.23809523809523
4645,white,5.7,0.25,0.21,1.5,0.044,21.0,108.0,0.99142,3.3,0.59,11.0,6,19.444444444444443,733.3333333333334,25.210084033613445,95.7983193277311
4646,white,5.8,0.23,0.21,1.5,0.044,21.0,110.0,0.99138,3.3,0.57,11.0,6,19.09090909090909,733.3333333333334,24.87562189054726,96.18573797678275
4647,white,5.4,0.265,0.28,7.8,0.052,27.0,91.0,0.99432,3.19,0.38,10.4,6,29.67032967032967,133.33333333333334,137.68755516328332,95.32215357458075
4648,white,5.7,0.25,0.27,10.8,0.05,58.0,116.0,0.99592,3.1,0.5,9.8,6,50.0,90.74074074074075,181.5126050420168,95.7983193277311
4649,white,5.7,0.25,0.26,12.5,0.049,52.5,106.0,0.99691,3.08,0.45,9.4,6,49.528301886792455,75.2,210.08403361344537,95.7983193277311
4650,white,5.9,0.23,0.28,8.6,0.046,37.0,142.0,0.99432,3.23,0.53,10.6,6,26.056338028169016,123.25581395348837,140.29363784665577,96.24796084828711
4651,white,6.2,0.3,0.32,1.2,0.052,32.0,185.0,0.99266,3.28,0.44,10.1,5,17.2972972972973,841.6666666666667,18.46153846153846,95.38461538461539
4652,white,6.5,0.33,0.24,14.5,0.048,20.0,96.0,0.99456,3.06,0.3,11.5,8,20.83333333333333,79.3103448275862,212.298682284041,95.1683748169839
4653,white,7.4,0.26,0.29,3.7,0.048,14.0,73.0,0.9915,3.06,0.45,11.4,6,19.17808219178082,308.10810810810807,48.302872062663184,96.60574412532637
4654,white,7.0,0.2,0.4,1.1,0.058,30.0,93.0,0.99322,3.03,0.38,9.2,6,32.25806451612903,836.3636363636361,15.277777777777779,97.22222222222221
4655,white,6.5,0.21,0.42,1.1,0.059,33.0,101.0,0.9927,3.12,0.38,9.7,6,32.67326732673267,881.8181818181816,16.393442622950822,96.87034277198212
4656,white,7.3,0.25,0.27,3.8,0.047,16.0,79.0,0.99173,3.07,0.46,11.3,6,20.253164556962027,297.3684210526316,50.33112582781457,96.68874172185431
4657,white,6.8,0.27,0.24,4.6,0.098,36.0,127.0,0.99412,3.15,0.49,9.6,6,28.346456692913385,208.69565217391306,65.06364922206505,96.18104667609617
4658,white,6.7,0.24,0.3,10.2,0.07,44.0,179.0,0.99666,2.86,0.46,8.9,6,24.58100558659218,87.25490196078432,146.97406340057634,96.54178674351584
4659,white,6.4,0.14,0.28,7.9,0.057,21.0,82.0,0.99425,3.26,0.36,10.0,6,25.60975609756097,126.58227848101265,120.79510703363914,97.85932721712538
4660,white,6.4,0.5,0.2,2.4,0.059,19.0,112.0,0.99314,3.18,0.4,9.2,6,16.964285714285715,383.3333333333333,34.78260869565217,92.7536231884058
4661,white,6.6,0.41,0.27,10.7,0.11,20.0,103.0,0.99672,3.08,0.41,9.0,6,19.41747572815534,84.11214953271029,152.63908701854493,94.15121255349501
4662,white,6.4,0.25,0.28,4.9,0.03,29.0,98.0,0.99024,3.09,0.58,12.8,7,29.59183673469388,261.2244897959184,73.6842105263158,96.2406015037594
4663,white,8.0,0.25,0.35,1.1,0.054,13.0,136.0,0.99366,3.08,0.55,9.5,5,9.558823529411764,863.6363636363635,13.333333333333336,96.96969696969697
4664,white,6.6,0.21,0.34,5.6,0.046,30.0,140.0,0.99299,3.22,0.38,11.0,5,21.428571428571427,196.42857142857144,82.23201174743025,96.91629955947137
4665,white,6.3,0.29,0.23,14.2,0.037,24.0,99.0,0.99528,3.08,0.38,10.6,6,24.24242424242424,74.64788732394366,215.47799696509864,95.59939301972686
4666,white,6.9,0.37,0.23,9.5,0.057,54.0,166.0,0.99568,3.23,0.42,10.0,5,32.53012048192771,105.26315789473684,130.67400275103162,94.91059147180192
4667,white,5.7,0.31,0.28,4.1,0.03,22.0,86.0,0.99062,3.31,0.38,11.7,7,25.58139534883721,285.3658536585366,68.21963394342761,94.84193011647255
4668,white,6.9,0.45,0.27,4.7,0.035,17.0,80.0,0.99058,3.12,0.36,12.5,7,21.25,265.9574468085106,63.945578231292515,93.87755102040816
4669,white,6.9,0.3,0.45,1.4,0.039,36.0,122.0,0.99059,3.07,0.47,11.1,7,29.508196721311474,792.8571428571429,19.444444444444443,95.83333333333333
4670,white,5.3,0.23,0.56,0.9,0.041,46.0,141.0,0.99119,3.16,0.62,9.7,5,32.6241134751773,1077.7777777777776,16.2748643761302,95.84086799276672
4672,white,6.7,0.28,0.42,3.5,0.035,43.0,105.0,0.99021,3.18,0.38,12.2,6,40.95238095238095,348.57142857142856,50.143266475644694,95.98853868194841
4674,white,7.6,0.4,0.27,1.2,0.053,23.0,193.0,0.99164,3.22,0.38,11.6,5,11.917098445595856,966.6666666666667,15.0,95.0
4675,white,5.5,0.21,0.25,1.2,0.04,18.0,75.0,0.99006,3.31,0.56,11.3,6,24.0,941.6666666666667,21.015761821366024,96.32224168126095
4676,white,6.0,0.2,0.25,2.0,0.041,30.0,95.0,0.99078,3.27,0.56,11.1,6,31.57894736842105,555.0,32.25806451612903,96.77419354838709
4677,white,6.1,0.17,0.29,1.1,0.041,32.0,92.0,0.99036,3.26,0.57,11.2,6,34.78260869565217,1018.1818181818181,17.543859649122812,97.28867623604467
4678,white,7.5,0.21,0.29,1.5,0.046,35.0,107.0,0.99123,3.15,0.45,11.3,6,32.71028037383178,753.3333333333334,19.455252918287936,97.27626459143968
4679,white,7.3,0.26,0.32,1.2,0.041,29.0,94.0,0.98978,3.07,0.45,12.0,6,30.851063829787236,1000.0,15.873015873015873,96.56084656084657
4680,white,6.2,0.35,0.2,18.1,0.069,33.0,158.0,0.99908,3.15,0.5,8.8,6,20.88607594936709,48.61878453038674,276.33587786259545,94.65648854961832
4681,white,6.5,0.43,0.31,3.6,0.046,19.0,143.0,0.99022,3.15,0.34,12.0,8,13.286713286713288,333.3333333333333,51.94805194805195,93.7950937950938
4682,white,6.5,0.4,0.31,3.5,0.046,22.0,147.0,0.99024,3.15,0.31,12.0,7,14.965986394557824,342.85714285714283,50.724637681159415,94.20289855072463
4683,white,7.4,0.28,0.5,12.1,0.049,48.0,122.0,0.9973,3.01,0.44,9.0,5,39.34426229508197,74.3801652892562,157.55208333333331,96.35416666666666
4684,white,6.3,0.23,0.22,17.45,0.054,42.0,151.0,0.99853,3.12,0.6,9.3,6,27.814569536423843,53.29512893982809,267.2281776416539,96.47779479326186
4685,white,6.2,0.34,0.25,12.1,0.059,33.0,171.0,0.99769,3.14,0.56,8.7,6,19.29824561403509,71.90082644628099,185.01529051987768,94.80122324159021
4686,white,6.6,0.44,0.32,3.0,0.095,13.0,75.0,0.98954,3.1,0.63,12.8,6,17.333333333333332,426.6666666666667,42.61363636363637,93.75
4687,white,6.0,0.13,0.36,1.6,0.052,23.0,72.0,0.98974,3.1,0.5,11.5,7,31.944444444444443,718.75,26.10114192495922,97.87928221859707
4688,white,6.3,0.17,0.23,5.7,0.048,44.0,147.0,0.99382,3.08,0.54,10.0,5,29.931972789115648,175.43859649122805,88.09891808346214,97.3724884080371
4689,white,6.3,0.18,0.22,5.6,0.047,45.0,147.0,0.99383,3.09,0.54,10.0,5,30.612244897959183,178.57142857142858,86.41975308641976,97.22222222222223
4690,white,6.7,0.31,0.34,6.8,0.059,51.0,215.0,0.99538,3.33,0.56,10.3,5,23.72093023255814,151.47058823529412,97.00427960057061,95.57774607703281
4691,white,6.6,0.33,0.32,15.6,0.054,62.0,227.0,0.99734,3.25,0.56,10.4,5,27.31277533039648,66.66666666666667,225.10822510822513,95.23809523809524
4692,white,6.3,0.34,0.31,6.0,0.02,18.0,68.0,0.98981,3.22,0.29,13.4,7,26.47058823529412,223.33333333333334,90.36144578313254,94.87951807228916
4693,white,6.8,0.29,0.32,1.8,0.032,18.0,130.0,0.99095,3.05,0.62,11.2,6,13.846153846153848,622.2222222222222,25.38787023977433,95.90973201692525
4694,white,7.4,0.31,0.26,8.6,0.048,47.0,206.0,0.9964,3.26,0.36,9.1,5,22.81553398058253,105.81395348837209,111.54345006485084,95.9792477302205
4695,white,5.7,0.25,0.27,11.5,0.04,24.0,120.0,0.99411,3.33,0.31,10.8,6,20.0,93.91304347826087,193.27731092436974,95.7983193277311
4696,white,6.8,0.27,0.28,7.8,0.038,26.0,89.0,0.9915,3.24,0.34,12.5,6,29.21348314606741,160.25641025641025,110.32531824611033,96.18104667609617
4697,white,5.9,0.26,0.24,2.4,0.046,27.0,132.0,0.99234,3.63,0.73,11.3,5,20.454545454545453,470.83333333333337,38.96103896103896,95.77922077922078
4698,white,5.9,0.65,0.23,5.0,0.035,20.0,128.0,0.99016,3.46,0.48,12.8,6,15.625,256.0,76.33587786259541,90.07633587786259
4699,white,6.6,0.23,0.32,1.5,0.041,8.0,72.0,0.98949,3.22,0.39,12.7,6,11.11111111111111,846.6666666666666,21.961932650073205,96.6325036603221
4700,white,6.8,0.18,0.35,5.4,0.054,53.0,143.0,0.99287,3.1,0.54,11.0,7,37.06293706293706,203.7037037037037,77.36389684813754,97.42120343839542
4701,white,6.8,0.28,0.29,11.9,0.052,51.0,149.0,0.99544,3.02,0.58,10.4,6,34.22818791946309,87.39495798319328,168.07909604519773,96.045197740113
4702,white,5.9,0.27,0.27,9.0,0.051,43.0,136.0,0.9941,3.25,0.53,10.7,6,31.61764705882353,118.88888888888889,145.8670988654781,95.62398703403566
4703,white,6.1,0.25,0.28,10.0,0.055,56.0,131.0,0.994,3.22,0.35,10.9,6,42.74809160305343,109.0,157.48031496062993,96.06299212598425
4704,white,6.8,0.26,0.29,11.9,0.052,54.0,160.0,0.99546,3.03,0.58,10.4,6,33.75,87.39495798319328,168.55524079320114,96.3172804532578
4705,white,7.1,0.13,0.29,15.5,0.064,56.0,115.5,0.99737,3.16,0.41,9.7,7,48.48484848484848,62.58064516129031,214.38450899031812,98.20193637621024
4706,white,6.2,0.2,0.25,15.0,0.055,8.0,120.0,0.99767,3.19,0.53,9.6,6,6.666666666666667,64.0,234.375,96.875
4707,white,5.8,0.24,0.28,1.4,0.038,40.0,76.0,0.98711,3.1,0.29,13.9,7,52.63157894736842,992.8571428571429,23.178807947019866,96.02649006622516
4708,white,7.6,0.48,0.31,9.4,0.046,6.0,194.0,0.99714,3.07,0.61,9.4,5,3.0927835051546397,100.0,116.33663366336634,94.05940594059406
4709,white,7.4,0.26,0.32,3.7,0.032,29.0,193.0,0.99134,3.1,0.67,12.5,6,15.025906735751295,337.8378378378378,48.302872062663184,96.60574412532637
4710,white,6.1,0.3,0.47,1.4,0.049,50.0,187.0,0.9927,3.19,0.45,9.5,5,26.737967914438503,678.5714285714287,21.875000000000004,95.31250000000001
4711,white,6.2,0.32,0.5,6.5,0.048,61.0,186.0,0.9948,3.19,0.45,9.6,5,32.795698924731184,147.69230769230768,99.69325153374233,95.0920245398773
4712,white,6.3,0.34,0.52,6.3,0.047,63.0,186.0,0.99481,3.18,0.44,9.6,5,33.87096774193548,152.38095238095238,94.87951807228916,94.87951807228916
4713,white,7.4,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,7,19.642857142857142,63.50364963503649,181.21693121693121,97.88359788359787
4714,white,7.2,0.26,0.38,1.5,0.061,12.0,120.0,0.99192,3.18,0.46,10.4,5,10.0,693.3333333333334,20.107238605898125,96.51474530831099
4715,white,7.0,0.31,0.35,1.6,0.063,13.0,119.0,0.99184,3.22,0.5,10.7,5,10.92436974789916,668.75,21.887824897400822,95.7592339261286
4716,white,6.6,0.22,0.35,1.4,0.05,23.0,83.0,0.99019,3.17,0.48,12.0,7,27.710843373493976,857.1428571428572,20.52785923753666,96.7741935483871
4717,white,5.8,0.23,0.31,3.5,0.044,35.0,158.0,0.98998,3.19,0.37,12.1,7,22.151898734177216,345.7142857142857,58.04311774461028,96.18573797678275
4718,white,6.3,0.17,0.32,1.0,0.04,39.0,118.0,0.98886,3.31,0.4,13.1,8,33.05084745762712,1310.0,15.45595054095827,97.3724884080371
4719,white,6.0,0.19,0.26,1.4,0.039,30.0,104.0,0.98998,3.32,0.41,12.4,6,28.846153846153847,885.7142857142858,22.617124394184167,96.93053311793214
4720,white,6.7,0.21,0.34,1.5,0.035,45.0,123.0,0.98949,3.24,0.36,12.6,7,36.58536585365854,840.0,21.70767004341534,96.96092619392185
4721,white,6.6,0.22,0.37,1.6,0.04,31.0,101.0,0.99009,3.15,0.66,12.0,5,30.69306930693069,750.0,23.46041055718475,96.7741935483871
4722,white,6.8,0.34,0.27,5.2,0.06,14.0,169.0,0.99252,3.27,0.57,11.6,6,8.284023668639053,223.07692307692307,72.82913165266106,95.23809523809524
4724,white,6.3,0.24,0.22,11.9,0.05,65.0,179.0,0.99659,3.06,0.58,9.3,6,36.312849162011176,78.15126050420169,181.9571865443425,96.3302752293578
4725,white,6.9,0.35,0.39,2.4,0.048,25.0,157.0,0.99133,3.2,0.54,11.1,7,15.92356687898089,462.5,33.10344827586207,95.17241379310344
4726,white,6.8,0.24,0.33,3.2,0.049,68.0,161.0,0.99324,3.1,0.69,10.2,6,42.2360248447205,318.74999999999994,45.45454545454545,96.5909090909091
4727,white,6.4,0.25,0.33,1.7,0.037,35.0,113.0,0.99164,3.23,0.66,10.6,6,30.97345132743363,623.5294117647059,25.563909774436087,96.2406015037594
4728,white,5.8,0.19,0.33,4.2,0.038,49.0,133.0,0.99107,3.16,0.42,11.3,7,36.8421052631579,269.04761904761904,70.11686143572621,96.82804674457428
4729,white,6.9,0.24,0.4,15.4,0.052,81.0,198.0,0.9986,3.2,0.69,9.4,5,40.90909090909091,61.03896103896104,215.6862745098039,96.63865546218487
4730,white,6.5,0.31,0.61,13.0,0.053,31.0,123.0,0.99708,3.09,0.5,9.3,6,25.203252032520325,71.53846153846155,190.89574155653452,95.44787077826726
4731,white,6.6,0.25,0.32,5.6,0.039,15.0,68.0,0.99163,2.96,0.52,11.1,6,22.058823529411764,198.21428571428572,81.75182481751825,96.35036496350365
4732,white,7.5,0.38,0.56,9.7,0.055,15.0,170.0,0.99605,3.13,0.65,9.9,6,8.823529411764707,102.0618556701031,123.0964467005076,95.17766497461929
4733,white,6.2,0.3,0.3,2.5,0.041,29.0,82.0,0.99065,3.31,0.61,11.8,7,35.36585365853659,472.0,38.46153846153846,95.38461538461539
4734,white,6.4,0.33,0.28,4.0,0.04,24.0,81.0,0.9903,3.26,0.64,12.6,7,29.62962962962963,315.0,59.43536404160475,95.0965824665676
4735,white,7.6,0.27,0.32,1.2,0.043,23.0,72.0,0.99236,3.06,0.68,10.5,5,31.944444444444443,875.0,15.247776365946635,96.56925031766201
4736,white,5.9,0.24,0.34,2.0,0.037,40.0,108.0,0.98948,3.19,0.5,12.3,6,37.03703703703704,615.0,32.57328990228013,96.09120521172638
4737,white,5.3,0.33,0.3,1.2,0.048,25.0,119.0,0.99045,3.32,0.62,11.3,6,21.008403361344534,941.6666666666667,21.314387211367674,94.1385435168739
4738,white,6.4,0.21,0.21,5.1,0.097,21.0,105.0,0.9939,3.07,0.46,9.6,5,20.0,188.23529411764707,77.15582450832072,96.82299546142208
4739,white,7.0,0.22,0.3,1.4,0.04,14.0,63.0,0.98985,3.2,0.33,12.0,6,22.22222222222222,857.1428571428572,19.390581717451525,96.95290858725762
4740,white,7.8,0.27,0.35,1.2,0.05,36.0,140.0,0.99138,3.09,0.45,11.2,5,25.714285714285715,933.3333333333334,14.869888475836431,96.6542750929368
4741,white,6.7,0.2,0.24,6.5,0.044,28.0,100.0,0.99348,3.12,0.33,10.2,6,28.0,156.9230769230769,94.20289855072463,97.10144927536231
4742,white,8.1,0.27,0.33,1.3,0.045,26.0,100.0,0.99066,2.98,0.44,12.4,6,26.0,953.8461538461538,15.531660692951016,96.7741935483871
4743,white,7.1,0.45,0.24,2.7,0.04,24.0,87.0,0.98862,2.94,0.38,13.4,8,27.58620689655172,496.29629629629625,35.76158940397351,94.03973509933775
4744,white,5.8,0.22,0.29,1.3,0.036,25.0,68.0,0.98865,3.24,0.35,12.6,6,36.76470588235294,969.2307692307692,21.59468438538206,96.34551495016612
4745,white,6.3,0.3,0.48,7.4,0.053,34.0,149.0,0.99472,3.18,0.53,9.8,5,22.818791946308725,132.43243243243245,112.12121212121212,95.45454545454545
4746,white,7.9,0.36,0.53,12.9,0.049,63.0,139.0,0.99792,2.94,0.45,9.1,5,45.32374100719424,70.54263565891473,156.17433414043583,95.64164648910412
4747,white,8.0,0.24,0.33,1.2,0.044,28.0,101.0,0.99035,3.03,0.43,12.5,6,27.722772277227723,1041.6666666666667,14.563106796116504,97.08737864077669
4748,white,6.7,0.41,0.27,2.6,0.033,25.0,85.0,0.99086,3.05,0.34,11.7,6,29.41176470588235,450.0,36.56821378340366,94.23347398030941
4749,white,6.7,0.24,0.31,2.3,0.044,37.0,113.0,0.99013,3.29,0.46,12.9,6,32.743362831858406,560.8695652173914,33.14121037463976,96.54178674351584
4750,white,6.2,0.3,0.32,1.3,0.054,27.0,183.0,0.99266,3.3,0.43,10.1,5,14.754098360655735,776.9230769230769,20.0,95.38461538461539
4751,white,6.9,0.26,0.38,10.5,0.044,33.0,139.0,0.99517,3.06,0.5,10.3,6,23.74100719424461,98.0952380952381,146.64804469273741,96.36871508379888
4752,white,5.9,0.32,0.2,14.4,0.05,29.0,144.0,0.99666,3.24,0.41,10.3,6,20.13888888888889,71.52777777777777,231.51125401929258,94.85530546623794
4753,white,6.1,0.25,0.3,1.2,0.036,42.0,107.0,0.991,3.34,0.56,10.8,7,39.25233644859813,900.0,18.897637795275593,96.06299212598425
4754,white,5.6,0.23,0.29,3.1,0.023,19.0,89.0,0.99068,3.25,0.51,11.2,6,21.34831460674157,361.2903225806451,53.17324185248714,96.0548885077187
4755,white,6.6,0.23,0.32,1.7,0.024,26.0,102.0,0.99084,3.29,0.6,11.8,6,25.49019607843137,694.1176470588235,24.890190336749633,96.6325036603221
4756,white,6.0,0.17,0.21,6.0,0.05,26.0,134.0,0.9939,3.08,0.54,9.8,6,19.402985074626866,163.33333333333334,97.24473257698541,97.24473257698541
4757,white,7.1,0.38,0.42,11.8,0.041,32.0,193.0,0.99624,3.04,0.49,10.0,6,16.580310880829014,84.7457627118644,157.75401069518716,94.91978609625669
4758,white,6.6,0.31,0.37,6.2,0.052,13.0,164.0,0.99602,3.24,0.39,8.8,4,7.926829268292683,141.93548387096774,89.72503617945009,95.5137481910275
4759,white,6.5,0.38,0.53,1.4,0.142,5.0,69.0,0.9926,3.14,0.52,10.1,4,7.246376811594203,721.4285714285714,20.348837209302324,94.47674418604652
4760,white,7.0,0.44,0.24,12.1,0.056,68.0,210.0,0.99718,3.05,0.5,9.5,5,32.38095238095238,78.51239669421489,162.63440860215053,94.08602150537634
4761,white,6.1,0.38,0.14,3.9,0.06,27.0,113.0,0.99344,3.07,0.34,9.2,4,23.893805309734518,235.89743589743588,60.18518518518519,94.13580246913581
4762,white,8.0,0.33,0.32,4.6,0.041,31.0,180.0,0.99184,2.92,0.74,12.2,6,17.22222222222222,265.21739130434787,55.22208883553421,96.03841536614645
4763,white,6.0,0.19,0.29,1.2,0.046,29.0,92.0,0.99033,3.22,0.53,11.3,6,31.52173913043478,941.6666666666667,19.38610662358643,96.93053311793214
4764,white,6.3,0.28,0.34,8.1,0.038,44.0,129.0,0.99248,3.26,0.29,12.1,6,34.10852713178294,149.38271604938274,123.10030395136778,95.74468085106383
4765,white,5.3,0.43,0.11,1.1,0.029,6.0,51.0,0.99076,3.51,0.48,11.2,4,11.764705882352942,1018.1818181818181,19.197207678883075,92.49563699825481
4766,white,5.4,0.22,0.35,6.5,0.029,26.0,87.0,0.99092,3.29,0.44,12.5,7,29.885057471264368,192.30769230769232,115.65836298932385,96.08540925266904
4767,white,6.2,0.345,0.27,10.1,0.056,38.0,187.0,0.99486,3.31,0.56,10.6,5,20.32085561497326,104.95049504950495,154.3162719633308,94.72880061115356
4768,white,5.6,0.255,0.57,10.7,0.056,66.0,171.0,0.99464,3.25,0.61,10.4,7,38.59649122807018,97.19626168224299,182.74978650725876,95.64474807856534
4769,white,5.2,0.2,0.27,3.2,0.047,16.0,93.0,0.99235,3.44,0.53,10.1,7,17.204301075268816,315.625,59.25925925925925,96.29629629629629
